scenario,overserve,pseudonym,utilization,mean_sales,d_i,tapt_enheter,margin,tapt_margin,er_oos
hovedscenario,2.0,A2,9.095238095238095,191.0,382.0,191.0,0.55,105.05000000000001,True
hovedscenario,2.0,C4,0.6904761904761905,14.5,14.5,0.0,0.55,0.0,False
hovedscenario,2.0,C8,0.15343915343915343,3.2222222222222223,3.2222222222222223,0.0,0.55,0.0,False
hovedscenario,2.0,A11,2.8238095238095235,59.3,118.6,59.3,0.55,32.615,True
hovedscenario,2.0,B8,1.1285714285714286,23.7,47.4,23.7,0.55,13.035,True
konservativ,1.5,C7,0.6666666666666666,8.0,8.0,0.0,0.55,0.0,False
konservativ,1.5,C1,1.95,23.4,35.099999999999994,11.699999999999996,0.55,6.434999999999998,True
konservativ,1.5,A10,2.8666666666666667,60.2,90.30000000000001,30.10000000000001,0.5,15.050000000000004,True
konservativ,1.5,A7,3.7047619047619045,77.8,116.69999999999999,38.89999999999999,0.5,19.449999999999996,True
konservativ,1.5,A6,3.723809523809524,78.2,117.30000000000001,39.10000000000001,0.55,21.505000000000006,True
konservativ,1.5,C2,0.7071428571428572,19.8,19.8,0.0,0.55,0.0,False
konservativ,1.5,A4,0.7363095238095239,123.7,123.7,0.0,0.55,0.0,False
konservativ,1.5,C5,0.6157407407407408,14.777777777777779,14.777777777777779,0.0,0.55,0.0,False
konservativ,1.5,A3,1.0068027210884354,148.0,222.0,74.0,0.55,40.7,True
konservativ,1.5,C11,0.19047619047619047,4.0,4.0,0.0,0.55,0.0,False
konservativ,1.5,B7,1.2,25.2,37.8,12.599999999999998,0.55,6.93,True
konservativ,1.5,B9,1.1285714285714286,23.7,35.55,11.849999999999998,0.55,6.517499999999999,True
konservativ,1.5,C3,1.2847222222222223,20.555555555555557,30.833333333333336,10.277777777777779,0.55,5.652777777777779,True
konservativ,1.5,C10,0.5714285714285714,12.0,12.0,0.0,0.3,0.0,False
konservativ,1.5,B3,2.0428571428571427,42.9,64.35,21.449999999999996,0.3,6.434999999999999,True
konservativ,1.5,A14,2.3142857142857145,48.6,72.9,24.300000000000004,0.3,7.290000000000001,True
konservativ,1.5,C6,0.3523809523809524,7.4,7.4,0.0,0.3,0.0,False
konservativ,1.5,B2,2.2904761904761903,96.2,144.3,48.10000000000001,0.3,14.430000000000001,True
konservativ,1.5,B4,1.7952380952380953,37.7,56.550000000000004,18.85,0.3,5.655,True
konservativ,1.5,A8,1.7404761904761903,73.1,109.64999999999999,36.55,0.3,10.964999999999998,True
konservativ,1.5,B5,1.7428571428571429,36.6,54.900000000000006,18.300000000000004,0.3,5.490000000000001,True
konservativ,1.5,B6,1.5523809523809524,32.6,48.900000000000006,16.300000000000004,0.3,4.8900000000000015,True
konservativ,1.5,C9,0.5714285714285714,12.0,12.0,0.0,0.3,0.0,False
konservativ,1.5,B1,2.3095238095238093,48.5,72.75,24.25,0.3,7.2749999999999995,True
konservativ,1.5,A12,2.7333333333333334,57.4,86.1,28.699999999999996,0.3,8.609999999999998,True
konservativ,1.5,A5,2.6166666666666667,109.9,164.85000000000002,54.95000000000002,0.3,16.485000000000003,True
konservativ,1.5,A1,6.619047619047619,417.0,625.5,208.5,0.3,62.55,True
konservativ,1.5,A13,2.7285714285714286,57.3,85.94999999999999,28.64999999999999,0.3,8.594999999999997,True
konservativ,1.5,A9,3.423809523809524,71.9,107.85000000000001,35.95,0.3,10.785,True
konservativ,1.5,A2,9.095238095238095,191.0,286.5,95.5,0.55,52.525000000000006,True
konservativ,1.5,C4,0.6904761904761905,14.5,14.5,0.0,0.55,0.0,False
konservativ,1.5,C8,0.15343915343915343,3.2222222222222223,3.2222222222222223,0.0,0.55,0.0,False
konservativ,1.5,A11,2.8238095238095235,59.3,88.94999999999999,29.64999999999999,0.55,16.307499999999997,True
konservativ,1.5,B8,1.1285714285714286,23.7,35.55,11.849999999999998,0.55,6.517499999999999,True
